,filename,compStages,auxStages,Away %,Home %,Sleep %,Awake %,TOU %,Custom Schedule %,Smart Away %,Smart Home %,DR %,Hold %,TOU Event %,Custom Event %,Sq. Ft.,Floors,Age,Style,State,City
4763,8cf15e33ac93adfcaa388a6aac0225f3d1fc148e.csv,0,1,0.162448971,0.376162248,0.420977141,0.009538712,0,0.030872928,0,0,0,0.411558792,0,0.588441208,2500,4,90,detached,NY,Larchmont
4768,8d1a4248a1820d0451758d70e68a6626175e02fd.csv,0,1,0.208362512,0.350315126,0.336795829,0,0,0.104526533,0.000787815,0.048465219,0,0.172930283,0,0.777816682,3000,2,70,detached,NY,Tonawanda town
4772,8d376d63ffc466f719b691460874ba1b6cb6c933.csv,0,1,0.000640878,0.721313514,0.1724824,0,0,0.105563208,0.047453704,0.007805326,0,0.001817417,0,0.942923554,3000,3,55,detached,NY,Dix Hills
4783,8d8135d9ee3e926110a1880eb855a064e1e47880.csv,0,1,0.273540328,0.370743419,0.327508035,0,0,0.028208219,0.032426538,0.137310606,0,0.027490817,0,0.802772039,3000,2,35,detached,NY,Fishkill
4785,8d92d58df51086e7d50f9b3a758851966a682dfe.csv,1,0,0,0.678406085,0.270998677,0,0,0.050595238,0.009093915,0,0.002221809,0.15265377,0,0.836030506,1500,1,56,condominium,NY,New York
4786,8db465679fbd0326eef748014d81bd9034a28c35.csv,0,1,0,0.541915366,0.43258341,0,0,0.025501224,0.045483242,0,0,0.606184956,0,0.348331803,1500,2,20,townhouse,NY,Syracuse
4790,8dc2cad39cbc90761cf5996f2a9e66dd38300494.csv,0,1,0.023990766,0.745926816,0.202705281,0,0,0.027377137,0.026966957,0.004445208,0,0.014365842,0,0.954221993,2000,3,0,rowHouse,NY,Brooklyn
4794,8de5aba9f111aa75944536ecc93c45490017e0a8.csv,1,2,0,0.586037193,0.383792406,0,0,0.030170401,0,0,0,0.035432228,0,0.964567772,2000,2,57,detached,NY,Slingerlands
4798,8e0366d9c609c7c8ed397b63acf88a67b930b01d.csv,0,1,0,0.692956349,0.277224512,0,0,0.029819139,0,0,0,0.687156593,0,0.312843407,2500,3,30,detached,NY,Ballston Spa
4799,8e0a78d1bc8428e8c5b01278378e4c9cc90a0daa.csv,0,1,0,0.605744949,0.363043312,0,0,0.031211739,0,0,0.0012148,0.967343893,0,0.031441307,2500,3,50,detached,NY,Orangeburg
4801,8e143b4f0aac24487f483d850db86c5ef91a2c3a.csv,0,1,0,0.972260484,0,0,0,0.027739516,0.001673936,0,0,0.969056091,0,0.029269972,2500,2,35,detached,NY,Amherst
4802,8e1bad4f5581701baa474a600c18ef8ab50f2e26.csv,0,1,0,0.696443603,0.275300352,0,0,0.028256045,0,0,0,0.856720615,0,0.143279385,0,0,0,,NY,Bellmore
4803,8e1c13c901f93108c59c82494b89d01e9a0da363.csv,0,1,0,0.440514347,0.449366606,0,0,0.110119048,0.030801664,0,0,0.69171627,0,0.277482067,2000,1,0,multiPlex,NY,Bronx
4804,8e3278c324faa186fd33ba1a309b697781ea98e8.csv,0,2,0.241984236,0.299098944,0.292699725,0,0,0.166217095,0.00259221,0.017160239,0,0.096504821,0,0.88374273,1500,2,48,detached,NY,Cheektowaga
4806,8e7fc8ea1c9d085f1f5afb882735f00d1d775d99.csv,0,1,0.975015305,0,0,0,0,0.024984695,0,0,0,0.571682736,0,0.428317264,1500,1,47,apartment,NY,New York
4807,8e811b48e9941a70bd078f78b333585c5ea32b10.csv,0,1,0.229824863,0.352773962,0.387295864,0,0,0.030105311,0,0,0,0.557797237,0,0.442202763,2500,1,30,other,NY,12833
4809,8e95f942e3874d27614b909c6c2ed9605bb757a1.csv,0,0,0,0.510090546,0.463167587,0,0,0.026741866,0.031317142,0,0,0.020535988,0,0.948146869,3000,3,60,multiPlex,NY,Glen Head
4810,8e9875a1b502e12efdc016e632d5f524be7e8da6.csv,0,1,0,0.688992195,0.28452135,0,0,0.026486455,0,0,0,0.96288644,0,0.03711356,1500,2,55,other,NY,Cheektowaga
4814,8ed0bf3c8eb9ca205ddc8912cef44dd0f18fe747.csv,0,1,0,0.125029677,0.299620133,0,0,0.57535019,0.003383191,0.048952398,0,0.003175451,0,0.94448896,0,0,0,,NY,Depew
4823,8f3cfbd372a881be0ad76bc5c7e2a19ef0743bc1.csv,0,1,0,0.67384432,0.285914179,0,0,0.040241501,1.30E-05,0,0,0.940803794,0,0.05918325,2000,3,60,detached,NY,Hastings-on-Hudson
4825,8f4c16b90932953a49c572f1fd28ec9bdf1bc0b1.csv,0,1,0.289119734,0.389728327,0.292010073,0,0,0.029141865,0.008976267,0.119267018,0,0.016521673,0,0.855235043,2500,3,120,rowHouse,NY,Brooklyn
4827,8f5941487fdd02bfaffbeabcd2c2a0d660ae11ae.csv,0,1,0,0.435567799,0.537764004,0,0,0.026668197,0,0,0,0.937251301,0,0.062748699,2000,2,35,townhouse,NY,Buffalo
4830,8f72327168c681fdd026e6c9232dfd5b64bb776b.csv,0,1,0.248445131,0.404542506,0.318175748,0,0,0.028836615,0.014346764,0.012753739,0,0.366319444,0,0.606580052,2000,3,65,0,NY,Huntington
4831,8f771559ed3f3ac073fd6fcdf1f036aa07379ffa.csv,0,1,0,0.672188243,0.292909021,0,0,0.034902735,0,0,0,0.227393391,0,0.772606609,4000,2,40,other,NY,Verona
4832,8f82a10815a5d72eff07ce1aedce5e0aeba7d921.csv,0,1,0.274401473,0.284453653,0.410460789,0,0,0.030684085,0.004910988,0.005409761,0,0.887430939,0,0.102248312,1500,1,60,apartment,NY,Ithaca
4836,8f9e400cd2f08e8b36774b83c395144e9a3eba79.csv,0,1,0.217147436,0.439112103,0.313959478,0,0,0.029780983,0,0,0,0.111607143,0,0.888392857,2000,2,20,townhouse,NY,Farmington
4844,8fddc4b1e03a6103931e34e8276fc06e47b35018.csv,0,1,0.460998288,0,0.503968254,0,0,0.035033458,0,0.095111656,0,0.035860177,0,0.869028167,2200,2,0,detached,NY,Cortlandt
4851,8ff88b035632c3e90b8725e2472433acf86a7fbf.csv,0,0,0,0.488944274,0.50193848,0,0,0.009117246,0.020172972,0,0,0.020279482,0,0.959547546,2000,2,80,detached,NY,Farmingdale
